epoch,accuracy,loss,val_accuracy,val_loss
0,0.27080580592155457,3.1069653034210205,0.410526305437088,1.921992540359497
1,0.6446499228477478,1.1075525283813477,0.5473684072494507,2.0667130947113037
2,0.7622193098068237,0.7967063188552856,0.557894766330719,2.1753015518188477
3,0.7912814021110535,0.6721033453941345,0.5473684072494507,1.7034462690353394
4,0.8216644525527954,0.5686800479888916,0.6421052813529968,1.7710001468658447
5,0.8692206144332886,0.45043307542800903,0.6526315808296204,1.7230751514434814
6,0.8586525917053223,0.4198385775089264,0.6631578803062439,1.459182620048523
7,0.8665785789489746,0.44209960103034973,0.6631578803062439,1.9991387128829956
8,0.8929986953735352,0.3374371826648712,0.7368420958518982,1.5022687911987305
9,0.8982827067375183,0.304203599691391,0.7157894968986511,1.5507735013961792
10,0.9128137230873108,0.28089553117752075,0.7684210538864136,1.6204049587249756
11,0.9075297117233276,0.32828158140182495,0.7157894968986511,1.4077726602554321
12,0.9233817458152771,0.23248732089996338,0.6947368383407593,1.7328702211380005
13,0.9128137230873108,0.3000452518463135,0.7473683953285217,1.7911382913589478
14,0.9022457003593445,0.3111547827720642,0.7684210538864136,1.5558586120605469
15,0.9009246826171875,0.28989270329475403,0.7263157963752747,1.5846962928771973
16,0.9233817458152771,0.2630661427974701,0.7368420958518982,1.5020536184310913
17,0.9260237812995911,0.2262154370546341,0.7473683953285217,2.2019431591033936
18,0.9220607876777649,0.24331475794315338,0.6736842393875122,1.4406938552856445
19,0.9035667181015015,0.3028543293476105,0.6526315808296204,1.9465349912643433
20,0.9365918040275574,0.19676390290260315,0.7368420958518982,1.6787834167480469
21,0.9286657571792603,0.20658382773399353,0.7789473533630371,1.5716015100479126
22,0.95772784948349,0.11402434855699539,0.7368420958518982,1.767909049987793
23,0.9511228799819946,0.12928633391857147,0.8105263113975525,1.645015835762024
24,0.9511228799819946,0.12957428395748138,0.75789475440979,1.5826680660247803
25,0.9669749140739441,0.09672509878873825,0.75789475440979,1.8233596086502075
26,0.9696168899536133,0.09137168526649475,0.75789475440979,1.655591607093811
